"category","key","expected_path","trait_1","trait_2","trait_3","direction"
"hair","short/soft-waves/black","public/beauty-dna-package/matrix/hair/short/soft-waves/black.webp","short","soft-waves","black","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","short/soft-waves/blonde","public/beauty-dna-package/matrix/hair/short/soft-waves/blonde.webp","short","soft-waves","blonde","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","short/soft-waves/copper","public/beauty-dna-package/matrix/hair/short/soft-waves/copper.webp","short","soft-waves","copper","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","short/soft-waves/dark-brown","public/beauty-dna-package/matrix/hair/short/soft-waves/dark-brown.webp","short","soft-waves","dark-brown","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","short/soft-waves/light-brown","public/beauty-dna-package/matrix/hair/short/soft-waves/light-brown.webp","short","soft-waves","light-brown","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","short/soft-waves/light-brown-plus-highlights","public/beauty-dna-package/matrix/hair/short/soft-waves/light-brown-plus-highlights.webp","short","soft-waves","light-brown-plus-highlights","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","short/soft-waves/balayage","public/beauty-dna-package/matrix/hair/short/soft-waves/balayage.webp","short","soft-waves","balayage","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","short/soft-waves/dark-brown-plus-almond-highlights","public/beauty-dna-package/matrix/hair/short/soft-waves/dark-brown-plus-almond-highlights.webp","short","soft-waves","dark-brown-plus-almond-highlights","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","short/defined-waves/black","public/beauty-dna-package/matrix/hair/short/defined-waves/black.webp","short","defined-waves","black","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","short/defined-waves/blonde","public/beauty-dna-package/matrix/hair/short/defined-waves/blonde.webp","short","defined-waves","blonde","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
